,COUNTRY,MISSION,DATE,EMPLOYMENT VISA,TOURIST VISA,BUSINESS VISA,CONFERENCE VISA,BUS VISA INDSPOUSE,BUSINESS VISA TRANSFER,DIPLOMATIC VISA,DIPLOMATIC DEPENDANT VISA,EMPLOYMENT VISA INDSPOUSE,ENTRY VISA,MEDICAL VISA,MEDICAL ATTENDENT VISA,MISSIONARY VISA,PILGRIMAGE VISA,RESEARCH VISA,PROJECT VISA,TRANSIT VISA,VISIT VISA,ART SURROGACY,LONG TERM VISA TRANSFER,STUDENT VISA
0,CANADA,CANADA-TORONTO,7/26/2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BANGLADESH,BANGLADESH-CHITTAGONG,7/28/2010,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BANGLADESH,BANGLADESH-CHITTAGONG,7/29/2010,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BANGLADESH,BANGLADESH-CHITTAGONG,4/8/2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BANGLADESH,BANGLADESH-CHITTAGONG,5/8/2010,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
5,BANGLADESH,BANGLADESH-CHITTAGONG,8/8/2010,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BANGLADESH,BANGLADESH-CHITTAGONG,9/8/2010,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,BANGLADESH,BANGLADESH-CHITTAGONG,10/8/2010,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,BANGLADESH,BANGLADESH-CHITTAGONG,11/8/2010,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BANGLADESH,BANGLADESH-CHITTAGONG,12/8/2010,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BANGLADESH,BANGLADESH-CHITTAGONG,8/16/2010,0,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11,BANGLADESH,BANGLADESH-CHITTAGONG,8/17/2010,0,112,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,BANGLADESH,BANGLADESH-CHITTAGONG,8/18/2010,0,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,BANGLADESH,BANGLADESH-CHITTAGONG,8/19/2010,0,141,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,BANGLADESH,BANGLADESH-CHITTAGONG,8/22/2010,0,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,BANGLADESH,BANGLADESH-CHITTAGONG,8/23/2010,0,157,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0
16,BANGLADESH,BANGLADESH-CHITTAGONG,8/24/2010,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
17,BANGLADESH,BANGLADESH-CHITTAGONG,8/25/2010,0,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,BANGLADESH,BANGLADESH-CHITTAGONG,8/26/2010,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
19,BANGLADESH,BANGLADESH-CHITTAGONG,8/29/2010,0,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20,BANGLADESH,BANGLADESH-CHITTAGONG,8/30/2010,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
21,BANGLADESH,BANGLADESH-CHITTAGONG,8/31/2010,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,BANGLADESH,BANGLADESH-CHITTAGONG,1/9/2010,0,216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
23,BANGLADESH,BANGLADESH-CHITTAGONG,5/9/2010,0,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,BANGLADESH,BANGLADESH-RAJSHAHI,5/9/2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BANGLADESH,BANGLADESH-CHITTAGONG,6/9/2010,0,208,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,BANGLADESH,BANGLADESH-CHITTAGONG,7/9/2010,0,237,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
27,BANGLADESH,BANGLADESH-RAJSHAHI,7/9/2010,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BANGLADESH,BANGLADESH-CHITTAGONG,8/9/2010,0,234,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
29,BANGLADESH,BANGLADESH-RAJSHAHI,8/9/2010,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
30,BANGLADESH,BANGLADESH-CHITTAGONG,9/9/2010,0,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
31,BANGLADESH,BANGLADESH-RAJSHAHI,9/9/2010,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,BANGLADESH,BANGLADESH-CHITTAGONG,12/9/2010,0,174,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
33,BANGLADESH,BANGLADESH-RAJSHAHI,12/9/2010,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,BANGLADESH,BANGLADESH-CHITTAGONG,9/13/2010,0,149,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
35,BANGLADESH,BANGLADESH-RAJSHAHI,9/13/2010,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,BANGLADESH,BANGLADESH-CHITTAGONG,9/14/2010,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,BANGLADESH,BANGLADESH-RAJSHAHI,9/14/2010,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,BANGLADESH,BANGLADESH-CHITTAGONG,9/15/2010,0,173,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,BANGLADESH,BANGLADESH-RAJSHAHI,9/15/2010,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
40,BANGLADESH,BANGLADESH-CHITTAGONG,9/16/2010,0,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
41,BANGLADESH,BANGLADESH-RAJSHAHI,9/16/2010,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,BANGLADESH,BANGLADESH-CHITTAGONG,9/19/2010,0,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
43,BANGLADESH,BANGLADESH-RAJSHAHI,9/19/2010,0,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,BANGLADESH,BANGLADESH-CHITTAGONG,9/20/2010,0,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
45,BANGLADESH,BANGLADESH-RAJSHAHI,9/20/2010,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,BANGLADESH,BANGLADESH-CHITTAGONG,9/21/2010,0,112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,BANGLADESH,BANGLADESH-RAJSHAHI,9/21/2010,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,BANGLADESH,BANGLADESH-CHITTAGONG,9/22/2010,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,BANGLADESH,BANGLADESH-RAJSHAHI,9/22/2010,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,BANGLADESH,BANGLADESH-CHITTAGONG,9/23/2010,0,154,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
51,BANGLADESH,BANGLADESH-RAJSHAHI,9/23/2010,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,BANGLADESH,BANGLADESH-CHITTAGONG,9/26/2010,0,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,BANGLADESH,BANGLADESH-RAJSHAHI,9/26/2010,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,BANGLADESH,BANGLADESH-CHITTAGONG,9/27/2010,0,141,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
